PACID,GroupPACID
9537119672,6002729175
8729254016,6002729175
9234323759,6002729175
6608992011,6002729175
8123215167,6002729175
3971563701,6002729175
7113058033,6002729175
9830386077,6002729175
345280731,6002729175
9830220110,6002729175
9739406703,6002729175
7214060292,6002729175
9739366998,6002729175
4183699705,6002729175
4587790332,6002729175
8628264611,6002729175
1052573227,6002729175
2365514445,6002729175
9436335932,6002729175
2668648874,6002729175
6709941594,6002729175
7012189756,6002729175
5092764159,6002729175
6103998760,6002729175
3173685864,6002729175
7416016696,6002729175
7214097864,6002729175
4880727403,6002729175
7416033097,6002729175
3274583026,6002729175
3870643349,6002729175
244308021,6002729175
7810013133,6002729175
3870653603,6002729175
8628209384,6002729175
3173573243,6002729175
6608807342,6002729175
1254593536,6002729175
8123087673,6002729175
2466601109,6002729175
4385774934,6002729175
3678700697,6002729175
8729217237,6002729175
6608904115,6002729175
3173686375,6002729175
4385628007,6002729175
9931277332,6002729175
840324265,6002729175
6002987591,6002729175
3870624216,6002729175
3971660572,6002729175
1951458934,6002729175
7810037058,6002729175
1153591383,6002729175
7315257144,6002729175
9739257189,6002729175
648330506,6002729175
6800812371,6002729175
7315257144,6002729175
2163568783,6002729175
5890825228,6002729175
840324265,6002729175
7214914456,6002729175
5991993339,6002729175
8325118995,6002729175
143263905,6002729175
8921150897,6002729175
648324103,6002729175
749372308,6002729175
8921169012,6002729175
3375501000,6002729175
5698801876,6002729175
4183600372,6002729175
5395813026,6002729175
4981792470,6002729175
244292282,6002729175
5092772772,6002729175
3779627047,6002729175
9739339961,6002729175
4981773348,6002729175
3476677857,6002729175
6608839923,6002729175
4981740941,6002729175
3971767807,6002729175
6406004258,6002729175
1951457753,6002729175
3476612706,6002729175
7416129705,6002729175
7113070715,6002729175
6103877824,6002729175
3779807870,6002729175
8224070438,6002729175
1850423807,6002729175
6800958810,6002729175
2567404684,6002729175
5193858322,6002729175
1951479393,6002729175
1254404890,6002729175
9638232382,6002729175
1557445376,6002729175
2163583030,6002729175
9931251931,6002729175
4284766726,6002729175
648401083,6002729175
8224227129,6002729175
9638113129,6002729175
6507087327,6002729175
3476691072,6002729175
4385833870,6002729175
9739121997,6002729175
3072418003,6002729175
8123178027,6002729175
8022153394,6002729175
1759576895,6002729175
5496641748,6002729175
1254552946,6002729175
6103965645,6002729175
9335196369,6002729175
9133029259,6002729175
6709844657,6002729175
1658544986,6002729175
2264563253,6002729175
4880640937,6002729175
2769709229,6002729175
3779704978,6002729175
2062306111,6002729175
6305096389,6002729175
4587571252,6002729175
5496062697,6002729175
6002864857,6002729175
2264328236,6002729175
3678743077,6002729175
8820178965,6002729175
3577625268,6002729175
1850525486,6002729175
8729123120,6002729175
8921056136,6002729175
5890826218,6002729175
9133200496,6002729175
2769410174,6002729175
8628137023,6002729175
8729208004,6002729175
749454585,6002729175
2961652342,6002729175
2769529072,6002729175
7618035007,6002729175
3274701248,6002729175
4981883188,6002729175
2163608498,6002729175
8325100308,6002729175
7113055807,6002729175
6901091271,6002729175
7810181922,6002729175
2264564988,6002729175
5799978128,6002729175
5193705150,6002729175
8527139468,6002729175
4688827603,6002729175
3870722234,6002729175
6901945500,6002729175
9234209404,6002729175
8820019136,6002729175
9335228782,6002729175
5597993915,6002729175
4082880349,6002729175
5092701409,6002729175
1759555105,6002729175
143405225,6002729175
143545046,6002729175
1052360385,6002729175
8628242237,6002729175
7719167246,6002729175
3274681879,6002729175
3971635046,6002729175
6608907217,6002729175
3375574635,6002729175
7810038536,6002729175
5496062697,6002729175
2860610664,6002729175
7315975125,6002729175
5698833648,6002729175
4789742891,6002729175
5799746244,6002729175
1658467436,6002729175
3577695758,6002729175
6507840329,6002729175
749385425,6002729175
5698809002,6002729175
6901879527,6002729175
1951593763,6002729175
6103132287,6002729175
1052443090,6002729175
3375528227,6002729175
2961533732,6002729175
6103912373,6002729175
8123097151,6002729175
7618048133,6002729175
8628390911,6002729175
840232849,6002729175
6800016221,6002729175
4385781665,6002729175
4183756216,6002729175
9335182435,6002729175
3375642523,6002729175
143388397,6002729175
8921990888,6002729175
2668445495,6002729175
4486785474,6002729175
2567548738,6002729175
1355466756,6002729175
3173681939,6002729175
3476741927,6002729175
5799724035,6002729175
2365581428,6002729175
3476626599,6002729175
5890975890,6002729175
8426284795,6002729175
1658398938,6002729175
9335374974,6002729175
2466635420,6002729175
7113184227,6002729175
6103072400,6002729175
4789743378,6002729175
3971746462,6002729175
8325067770,6002729175
2567694540,6002729175
2264627041,6002729175
8921245994,6002729175
4981786019,6002729175
8325080989,6002729175
7517281736,6002729175
3870655400,6002729175
6204053952,6002729175
5698809002,6002729175
9133257470,6002729175
2668620683,6002729175
9335313030,6002729175
3779652409,6002729175
5597661298,6002729175
8426240532,6002729175
3971746462,6002729175
5496932303,6002729175
8921103615,6002729175
7719018878,6002729175
1759407034,6002729175
1254410723,6002729175
5193766087,6002729175
9638162472,6002729175
2163525247,6002729175
9739076936,6002729175
3577736586,6002729175
2264628841,6002729175
7517082258,6002729175
1557375797,6002729175
6800065228,6002729175
4587797709,6002729175
1052599958,6002729175
2567510050,6002729175
9931253341,6002729175
143345231,6002729175
4587612791,6002729175
3678743440,6002729175
9335265115,6002729175
9032279591,6002729175
5890977920,6002729175
1850423807,6002729175
3274705678,6002729175
9436046570,6002729175
8820281595,6002729175
4284704909,6002729175
6800012576,6002729175
7719166339,6002729175
2961583703,6002729175
6204899446,6002729175
9931232907,6002729175
7315014958,6002729175
3779704978,6002729175
5890889430,6002729175
4587692009,6002729175
8628370038,6002729175
9537227152,6002729175
5294876678,6002729175
9830124775,6002729175
6608002100,6002729175
7012821150,6002729175
5092779777,6002729175
1153501648,6002729175
8022275205,6002729175
6507925377,6002729175
5991730327,6002729175
1951458934,6002729175
2961688619,6002729175
7214078120,6002729175
7214826411,6002729175
3375677289,6002729175
4486681558,6002729175
446402168,6002729175
5496807844,6002729175
5496825044,6002729175
8628098605,6002729175
5991993743,6002729175
8426110420,6002729175
1153396734,6002729175
5991952871,6002729175
3971631680,6002729175
9032287545,6002729175
3173573649,6002729175
5698807303,6002729175
8527108380,6002729175
6608096631,6002729175
6204023005,6002729175
6305976655,6002729175
9931231768,6002729175
1456483130,6002729175
2062597289,6002729175
7618158353,6002729175
7911059878,6002729175
4385837640,6002729175
5799863593,6002729175
7012044472,6002729175
1153380993,6002729175
941356265,6002729175
345439881,6002729175
8426145491,6002729175
1254462013,6002729175
8426052598,6002729175
3375606460,6002729175
2466583364,6002729175
3577736586,6002729175
8921284068,6002729175
7012047962,6002729175
345370847,6002729175
5193734713,6002729175
7113108580,6002729175
3779778691,6002729175
1850604265,6002729175
5991864787,6002729175
3072763507,6002729175
4789765702,6002729175
345313839,6002729175
2668620683,6002729175
8224175617,6002729175
5092877902,6002729175
2163563503,6002729175
7719929728,6002729175
3971668682,6002729175
2567780638,6002729175
9436192721,6002729175
8426244377,6002729175
9234255639,6002729175
1850473943,6002729175
1557420692,6002729175
3971680604,6002729175
8820120470,6002729175
7911178785,6002729175
8224261284,6002729175
1759575657,6002729175
5698835692,6002729175
3577657121,6002729175
143371708,6002729175
7214902659,6002729175
2567502891,6002729175
7315841269,6002729175
7719014042,6002729175
8921131095,6002729175
1951548718,6002729175
9830386077,6002729175
8426286386,6002729175
1052592243,6002729175
1759309594,6002729175
3274607007,6002729175
1456326099,6002729175
7315090487,6002729175
2062560436,6002729175
9537149059,6002729175
648272922,6002729175
5890889430,6002729175
7719173517,6002729175
1658569256,6002729175
3577696731,6002729175
6709932197,6002729175
2466513296,6002729175
3779643697,6002729175
6507839149,6002729175
3870624216,6002729175
5193766087,6002729175
9335204346,6002729175
143531392,6002729175
5991994501,6002729175
8224180625,6002729175
749405637,6002729175
2961560099,6002729175
2264594738,6002729175
941302079,6002729175
5799826533,6002729175
143353540,6002729175
7911186333,6002729175
8820128101,6002729175
6406026509,6002729175
3870765852,6002729175
7012965734,6002729175
8527016450,6002729175
5193917532,6002729175
2062577539,6002729175
4880873314,6002729175
2567636467,6002729175
1153462262,6002729175
6204839152,6002729175
7618993148,6002729175
5193910008,6002729175
3476683111,6002729175
8921234311,6002729175
1557380664,6002729175
1456412105,6002729175
8729205463,6002729175
2668523101,6002729175
1355566274,6002729175
8820312861,6002729175
1658445887,6002729175
3678881794,6002729175
7416844840,6002729175
7416096433,6002729175
3072783166,6002729175
9436464047,6002729175
3476570581,6002729175
2860524212,6002729175
9032362397,6002729175
143384271,6002729175
6507839149,6002729175
1557448099,6002729175
42348740,6002729175
2264741198,6002729175
3274664115,6002729175
2163570144,6002729175
4183782006,6002729175
3375622178,6002729175
840341525,6002729175
2062684558,6002729175
3870655061,6002729175
3173681061,6002729175
4789661174,6002729175
648303933,6002729175
6901930783,6002729175
7517046394,6002729175
8022035997,6002729175
4789698226,6002729175
8123003126,6002729175
2860551843,6002729175
3577691005,6002729175
5698891059,6002729175
2062314685,6002729175
4486660941,6002729175
5890855837,6002729175
2668445495,6002729175
6406987056,6002729175
9436229101,6002729175
7810037058,6002729175
345261368,6002729175
7012147077,6002729175
5294912549,6002729175
9931265287,6002729175
6901863000,6002729175
547322976,6002729175
7517019136,6002729175
2668796855,6002729175
4587788377,6002729175
648468769,6002729175
6507925245,6002729175
6305820051,6002729175
7214007368,6002729175
4183748973,6002729175
2264480144,6002729175
7618993148,6002729175
1153594064,6002729175
1850547613,6002729175
1658569256,6002729175
446434187,6002729175
143409433,6002729175
6507948577,6002729175
7113070715,6002729175
